warming_level,50th,17th,83th,5th,95th,
1.0,1.32,1.28,1.39,1.24,1.42,
1.5,1.53,1.46,1.62,1.40,1.67,
2.0,1.74,1.66,1.89,1.56,1.98,
3.0,2.21,2.06,2.42,1.93,2.69,
4.0,2.71,2.51,3.19,2.31,3.58,
