warming_level,50th,17th,83th,5th,95th
1.0,-0.32,-0.53,0.01,-1.07,0.19
1.5,-0.46,-0.75,-0.10,-1.40,0.01
2.0,-0.57,-0.93,-0.18,-1.49,-0.07
3.0,-0.78,-1.26,-0.43,-2.23,-0.18
4.0,-0.99,-1.64,-0.49,-2.03,-0.27
