warming_level,50th,17th,83th,5th,95th
1.0,1.70,1.02,2.38,0.68,4.08
1.5,2.04,1.11,3.40,1.02,5.10
2.0,2.38,1.36,4.06,1.33,5.83
3.0,3.23,2.04,5.44,1.36,7.68
4.0,4.08,2.38,6.30,1.70,7.21
