warming_level,50th,17th,83th,5th,95th,
1.0,6.68,5.58,7.50,4.80,7.70
1.5,10.52,8.79,11.40,7.70,11.95
2.0,14.04,12.31,15.34,11.41,16.46
3.0,21.30,19.32,23.86,17.82,25.64
4.0,30.22,26.70,33.15,24.78,36.34
