warming_level,50th,17th,83th,5th,95th
1.0,7.09,5.62,7.73,4.73,8.55
1.5,11.01,9.20,12.07,7.45,12.97
2.0,14.47,12.95,16.25,11.78,17.90
3.0,22.40,20.17,25.66,18.42,27.40
4.0,32.24,28.83,35.34,25.56,38.50
