warming_level,50th,17th,83th,5th,95th,
1.0,1.20,1.00,1.43,0.65,1.58,
1.5,1.97,1.60,2.19,1.27,2.44,
2.0,2.70,2.08,3.02,1.78,3.20,
3.0,4.02,3.34,4.52,3.14,4.74,
4.0,5.28,4.63,5.90,4.41,5.97,
