warming_level,50th,17th,83th,5th,95th,
1.0,1.15,0.93,1.34,0.68,1.52,
1.5,1.88,1.49,2.08,1.28,2.26,
2.0,2.60,1.99,2.81,1.84,3.07,
3.0,3.91,3.27,4.31,3.15,4.52,
4.0,5.11,4.60,5.61,4.28,5.81,
