warming_level,50th,17th,83th,5th,95th,
1.0,4.81,3.23,5.69,2.28,6.37,
1.5,8.64,5.62,10.03,4.26,10.74,
2.0,13.92,7.72,15.61,6.89,16.59,
3.0,27.40,16.07,29.87,15.05,31.31,
4.0,39.19,28.36,40.02,27.03,41.37,
